year,source,percentage
2007-01-01T05:00Z,Oil,0.022
2007-01-01T05:00Z,Other renewables,0.024
2007-01-01T05:00Z,Solar,0
2007-01-01T05:00Z,Wind,0.013
2008-01-01T05:00Z,Coal,0.323
2008-01-01T05:00Z,Gas,0.458
2008-01-01T05:00Z,Hydroelectric,0.013
2008-01-01T05:00Z,Nuclear,0.136
2008-01-01T05:00Z,Oil,0.026
2008-01-01T05:00Z,Other renewables,0.025
2008-01-01T05:00Z,Solar,0
2008-01-01T05:00Z,Wind,0.019
2009-01-01T05:00Z,Coal,0.276
2009-01-01T05:00Z,Gas,0.446
2009-01-01T05:00Z,Hydroelectric,0.014
2009-01-01T05:00Z,Nuclear,0.185
2009-01-01T05:00Z,Oil,0.025
2009-01-01T05:00Z,Other renewables,0.029
2009-01-01T05:00Z,Solar,0
2009-01-01T05:00Z,Wind,0.025
2010-01-01T05:00Z,Coal,0.284
2010-01-01T05:00Z,Gas,0.464
2010-01-01T05:00Z,Hydroelectric,0.009
2010-01-01T05:00Z,Nuclear,0.164
2010-01-01T05:00Z,Oil,0.019
2010-01-01T05:00Z,Other renewables,0.032
2010-01-01T05:00Z,Solar,0
2010-01-01T05:00Z,Wind,0.027
2011-01-01T05:00Z,Coal,0.297
2011-01-01T05:00Z,Gas,0.401
2011-01-01T05:00Z,Hydroelectric,0.016
2011-01-01T05:00Z,Nuclear,0.189
2011-01-01T05:00Z,Oil,0.016
2011-01-01T05:00Z,Other renewables,0.036
2011-01-01T05:00Z,Solar,0.001
2011-01-01T05:00Z,Wind,0.044
2012-01-01T05:00Z,Coal,0.396
2012-01-01T05:00Z,Gas,0.278
2012-01-01T05:00Z,Hydroelectric,0.015
2012-01-01T05:00Z,Nuclear,0.195
2012-01-01T05:00Z,Oil,0.017
2012-01-01T05:00Z,Other renewables,0.041
2012-01-01T05:00Z,Solar,0.004
2012-01-01T05:00Z,Wind,0.055
2013-01-01T05:00Z,Coal,0.367
2013-01-01T05:00Z,Gas,0.27
2013-01-01T05:00Z,Hydroelectric,0.013
2013-01-01T05:00Z,Nuclear,0.199
2013-01-01T05:00Z,Oil,0.015
2013-01-01T05:00Z,Other renewables,0.051
2013-01-01T05:00Z,Solar,0.006
2013-01-01T05:00Z,Wind,0.08
2014-01-01T05:00Z,Coal,0.299
2014-01-01T05:00Z,Gas,0.301
2014-01-01T05:00Z,Hydroelectric,0.018
2014-01-01T05:00Z,Nuclear,0.19
2014-01-01T05:00Z,Oil,0.017
2014-01-01T05:00Z,Other renewables,0.067
2014-01-01T05:00Z,Solar,0.012
2014-01-01T05:00Z,Wind,0.095
2015-01-01T05:00Z,Coal,0.226
2015-01-01T05:00Z,Gas,0.298
2015-01-01T05:00Z,Hydroelectric,0.019
2015-01-01T05:00Z,Nuclear,0.21
2015-01-01T05:00Z,Oil,0.02
2015-01-01T05:00Z,Other renewables,0.085
2015-01-01T05:00Z,Solar,0.022
2015-01-01T05:00Z,Wind,0.12
2016-01-01T05:00Z,Coal,0.092
2016-01-01T05:00Z,Gas,0.428
2016-01-01T05:00Z,Hydroelectric,0.016
2016-01-01T05:00Z,Nuclear,0.214
2016-01-01T05:00Z,Oil,0.022
2016-01-01T05:00Z,Other renewables,0.086
2016-01-01T05:00Z,Solar,0.031
2016-01-01T05:00Z,Wind,0.111
2017-01-01T05:00Z,Coal,0.068
2017-01-01T05:00Z,Gas,0.41
2017-01-01T05:00Z,Hydroelectric,0.018
2017-01-01T05:00Z,Nuclear,0.211
2017-01-01T05:00Z,Oil,0.02
2017-01-01T05:00Z,Other renewables,0.09
2017-01-01T05:00Z,Solar,0.034
2017-01-01T05:00Z,Wind,0.149
2018-01-01T05:00Z,Coal,0.051
2018-01-01T05:00Z,Gas,0.401
2018-01-01T05:00Z,Hydroelectric,0.017
2018-01-01T05:00Z,Nuclear,0.198
2018-01-01T05:00Z,Oil,0.02
2018-01-01T05:00Z,Other renewables,0.1
2018-01-01T05:00Z,Solar,0.039
2018-01-01T05:00Z,Wind,0.173
2019-01-01T05:00Z,Coal,0.022
2019-01-01T05:00Z,Gas,0.411
2019-01-01T05:00Z,Hydroelectric,0.018
2019-01-01T05:00Z,Nuclear,0.179
2019-01-01T05:00Z,Oil,0.021
2019-01-01T05:00Z,Other renewables,0.106
2019-01-01T05:00Z,Solar,0.041
2019-01-01T05:00Z,Wind,0.202
2020-01-01T05:00Z,Coal,0.017
2020-01-01T05:00Z,Gas,0.366
2020-01-01T05:00Z,Hydroelectric,0.022
2020-01-01T05:00Z,Nuclear,0.17
2020-01-01T05:00Z,Oil,0.025
2020-01-01T05:00Z,Other renewables,0.116
2020-01-01T05:00Z,Solar,0.044
2020-01-01T05:00Z,Wind,0.242
