Date,Close,Growth
2/28/2017,14.4,0.285714286
3/1/2017,14.7,0.3125
3/2/2017,14.6,0.303571429
3/3/2017,14.6,0.303571429
3/6/2017,14.55,0.299107143
3/7/2017,14.5,0.294642857
3/8/2017,14.45,0.290178571
3/9/2017,14.35,0.28125
3/10/2017,14.65,0.308035714
3/13/2017,14.55,0.299107143
3/14/2017,14.55,0.299107143
3/15/2017,14.75,0.316964286
3/16/2017,14.65,0.308035714
3/17/2017,14.7,0.3125
3/20/2017,14.5,0.294642857
3/21/2017,14.25,0.272321429
3/22/2017,14.25,0.272321429
3/23/2017,14.3,0.276785714
3/24/2017,14.25,0.272321429
3/27/2017,14.25,0.272321429
3/28/2017,14.4,0.285714286
3/29/2017,14.45,0.290178571
3/30/2017,14.55,0.299107143
3/31/2017,14.4,0.285714286
4/3/2017,14.2,0.267857143
4/4/2017,14.6,0.303571429
4/5/2017,14.4,0.285714286
4/6/2017,14.5,0.294642857
4/7/2017,14.45,0.290178571
4/10/2017,14.45,0.290178571
4/11/2017,14.6,0.303571429
4/12/2017,14.5,0.294642857
4/13/2017,14.25,0.272321429
4/17/2017,14.45,0.290178571
4/18/2017,14.5,0.294642857
4/19/2017,14.6,0.303571429
4/20/2017,14.8,0.321428571
4/21/2017,14.7,0.3125
4/24/2017,14.85,0.325892857
4/25/2017,14.8,0.321428571
4/26/2017,14.85,0.325892857
4/27/2017,14.65,0.308035714
4/28/2017,14.45,0.290178571
5/1/2017,14.45,0.290178571
5/2/2017,14.3,0.276785714
5/3/2017,16.1,0.4375
5/4/2017,16.75,0.495535714
5/5/2017,16.95,0.513392857
5/8/2017,17,0.517857143
5/9/2017,17.05,0.522321429
5/10/2017,17.2,0.535714286
5/11/2017,17.2,0.535714286
5/12/2017,17.2,0.535714286
5/15/2017,17.25,0.540178571
5/16/2017,17.1,0.526785714
5/17/2017,16.85,0.504464286
5/18/2017,16.85,0.504464286
5/19/2017,17.35,0.549107143
5/22/2017,17.4,0.553571429
5/23/2017,17.4,0.553571429
5/24/2017,17.45,0.558035714
5/25/2017,17.3,0.544642857
5/26/2017,17.25,0.540178571
5/30/2017,17.6,0.571428571
5/31/2017,17.6,0.571428571
6/1/2017,17.65,0.575892857
6/2/2017,17.6,0.571428571
6/5/2017,17.55,0.566964286
6/6/2017,17.35,0.549107143
6/7/2017,17.25,0.540178571
6/8/2017,17.6,0.571428571
6/9/2017,17.7,0.580357143
6/12/2017,17.75,0.584821429
6/13/2017,17.9,0.598214286
6/14/2017,17.85,0.59375
6/15/2017,17.65,0.575892857
6/16/2017,17.7,0.580357143
6/19/2017,17.75,0.584821429
6/20/2017,17.5,0.5625
6/21/2017,17.45,0.558035714
6/22/2017,17.4,0.553571429
6/23/2017,17.65,0.575892857
6/26/2017,17.35,0.549107143
6/27/2017,17.5,0.5625
6/28/2017,18,0.607142857
6/29/2017,17.8,0.589285714
6/30/2017,17.7,0.580357143
7/3/2017,17.75,0.584821429
7/5/2017,17.75,0.584821429
7/6/2017,17.45,0.558035714
7/7/2017,17.55,0.566964286
7/10/2017,17.4,0.553571429
7/11/2017,17.55,0.566964286
7/12/2017,17.5,0.5625
7/13/2017,17.55,0.566964286
7/14/2017,17.6,0.571428571
7/17/2017,17.6,0.571428571
7/18/2017,17.55,0.566964286
7/19/2017,17.75,0.584821429
7/20/2017,18.05,0.611607143
7/21/2017,18.1,0.616071429
7/24/2017,18.25,0.629464286
7/25/2017,18.4,0.642857143
7/26/2017,18.35,0.638392857
7/27/2017,19.95,0.78125
7/28/2017,19.3,0.723214286
7/31/2017,19,0.696428571
8/1/2017,19.1,0.705357143
8/2/2017,19.1,0.705357143
8/3/2017,19.15,0.709821429
8/4/2017,19.15,0.709821429
8/7/2017,19.15,0.709821429
8/8/2017,19,0.696428571
8/9/2017,18.85,0.683035714
8/10/2017,18.6,0.660714286
8/11/2017,18.4,0.642857143
8/14/2017,18.3,0.633928571
8/15/2017,18.2,0.625
8/16/2017,18.1,0.616071429
8/17/2017,17.95,0.602678571
8/18/2017,18.35,0.638392857
8/21/2017,18.3,0.633928571
8/22/2017,18.4,0.642857143
8/23/2017,18.4,0.642857143
8/24/2017,18.15,0.620535714
8/25/2017,18.25,0.629464286
8/28/2017,18.35,0.638392857
8/29/2017,18.3,0.633928571
8/30/2017,18.45,0.647321429
8/31/2017,18.65,0.665178571
9/1/2017,18.85,0.683035714
9/5/2017,18.7,0.669642857
9/6/2017,18.75,0.674107143
9/7/2017,18.95,0.691964286
9/8/2017,19.05,0.700892857
9/11/2017,18.95,0.691964286
9/12/2017,19.15,0.709821429
9/13/2017,19.1,0.705357143
9/14/2017,19.15,0.709821429
9/15/2017,19.2,0.714285714
9/18/2017,19.35,0.727678571
9/19/2017,19.35,0.727678571
9/20/2017,19.4,0.732142857
9/21/2017,19.3,0.723214286
9/22/2017,19.45,0.736607143
9/25/2017,19.5,0.741071429
9/26/2017,19.45,0.736607143
9/27/2017,19.75,0.763392857
9/28/2017,19.65,0.754464286
9/29/2017,19.6,0.75
10/2/2017,19.9,0.776785714
10/3/2017,20,0.785714286
10/4/2017,19.8,0.767857143
10/5/2017,20,0.785714286
10/6/2017,19.65,0.754464286
10/9/2017,19.2,0.714285714
10/10/2017,19.25,0.71875
10/11/2017,19.25,0.71875
10/12/2017,19.15,0.709821429
10/13/2017,19.15,0.709821429
10/16/2017,19.2,0.714285714
10/17/2017,19.05,0.700892857
10/18/2017,19.15,0.709821429
10/19/2017,19.1,0.705357143
10/20/2017,19.45,0.736607143
10/23/2017,19.55,0.745535714
10/24/2017,19.65,0.754464286
10/25/2017,19.4,0.732142857
10/26/2017,19.35,0.727678571
10/27/2017,19.35,0.727678571
10/30/2017,19.2,0.714285714
10/31/2017,19.1,0.705357143
11/1/2017,18,0.607142857
11/2/2017,17.85,0.59375
11/3/2017,17.45,0.558035714
11/6/2017,17.3,0.544642857
11/7/2017,17.1,0.526785714
11/8/2017,17.2,0.535714286
11/9/2017,17.4,0.553571429
11/10/2017,17.75,0.584821429
11/13/2017,17.45,0.558035714
11/14/2017,17.4,0.553571429
11/15/2017,17.25,0.540178571
11/16/2017,17.6,0.571428571
11/17/2017,17.65,0.575892857
11/20/2017,17.7,0.580357143
11/21/2017,18.1,0.616071429
11/22/2017,18.2,0.625
11/24/2017,18.25,0.629464286
11/27/2017,18.3,0.633928571
11/28/2017,18.65,0.665178571
11/29/2017,18.5,0.651785714
11/30/2017,18.8,0.678571429
12/1/2017,18.65,0.665178571
12/4/2017,18.7,0.669642857
12/5/2017,18.8,0.678571429
12/6/2017,18.65,0.665178571
12/7/2017,17.75,0.584821429
12/8/2017,17.75,0.584821429
12/11/2017,18.2,0.625
12/12/2017,18,0.607142857
12/13/2017,18.2,0.625
12/14/2017,18.1,0.616071429
12/15/2017,18.65,0.665178571
12/18/2017,18.6,0.660714286
12/19/2017,18.6,0.660714286
12/20/2017,18.5,0.651785714
12/21/2017,18.75,0.674107143
12/22/2017,18.5,0.651785714
12/26/2017,18.75,0.674107143
12/27/2017,18.65,0.665178571
12/28/2017,18.65,0.665178571
12/29/2017,18.5,0.651785714
1/2/2018,18.95,0.691964286
1/3/2018,18.55,0.65625
1/4/2018,18.3,0.633928571
1/5/2018,18.75,0.674107143
1/8/2018,18.75,0.674107143
1/9/2018,19.4,0.732142857
1/10/2018,19.25,0.71875
1/11/2018,19.45,0.736607143
1/12/2018,20.25,0.808035714
1/16/2018,19.85,0.772321429
1/17/2018,20.2,0.803571429
1/18/2018,20.2,0.803571429
1/19/2018,21.9,0.955357143
1/22/2018,22,0.964285714
1/23/2018,22.6,1.017857143
1/24/2018,22.25,0.986607143
1/25/2018,22.45,1.004464286
1/26/2018,22.95,1.049107143
1/29/2018,23.35,1.084821429
1/30/2018,23.55,1.102678571
1/31/2018,23.25,1.075892857
2/1/2018,23.8,1.125
2/2/2018,23,1.053571429
2/5/2018,22.1,0.973214286
2/6/2018,22.4,1
2/7/2018,22.15,0.977678571
2/8/2018,24.4,1.178571429
2/9/2018,24.1,1.151785714
2/12/2018,24.1,1.151785714
2/13/2018,24.15,1.15625
2/14/2018,24.75,1.209821429
2/15/2018,25.2,1.25
2/16/2018,25.05,1.236607143
2/20/2018,25.25,1.254464286
2/21/2018,25,1.232142857
2/22/2018,25.15,1.245535714
2/23/2018,25.3,1.258928571
2/26/2018,25.35,1.263392857
2/27/2018,24.75,1.209821429
2/28/2018,24.1,1.151785714
3/1/2018,23.95,1.138392857
3/2/2018,24.6,1.196428571
3/5/2018,24.1,1.151785714
3/6/2018,24.4,1.178571429
3/7/2018,24.3,1.169642857
3/8/2018,24.05,1.147321429
3/9/2018,24.75,1.209821429
3/12/2018,25.2,1.25
3/13/2018,25.1,1.241071429
3/14/2018,24.65,1.200892857
3/15/2018,24.3,1.169642857
3/16/2018,23.95,1.138392857
3/19/2018,23.65,1.111607143
3/20/2018,23.65,1.111607143
3/21/2018,23.9,1.133928571
3/22/2018,23.1,1.0625
3/23/2018,23.1,1.0625
3/26/2018,23.6,1.107142857
3/27/2018,23.15,1.066964286
3/28/2018,23.45,1.09375
3/29/2018,24.1,1.151785714
4/2/2018,23.5,1.098214286
4/3/2018,23.25,1.075892857
4/4/2018,23.2,1.071428571
4/5/2018,23.05,1.058035714
4/6/2018,23.6,1.107142857
4/9/2018,23.25,1.075892857
4/10/2018,22.9,1.044642857
4/11/2018,22.8,1.035714286
4/12/2018,22.95,1.049107143
4/13/2018,22.7,1.026785714
4/16/2018,22.9,1.044642857
4/17/2018,22.4,1
4/18/2018,22.8,1.035714286
4/19/2018,22.4,1
4/20/2018,22.25,0.986607143
4/23/2018,22.45,1.004464286
4/24/2018,22.25,0.986607143
4/25/2018,22.35,0.995535714
4/26/2018,22.4,1
4/27/2018,22.2,0.982142857
4/30/2018,23.45,1.09375
5/1/2018,22.93,1.047321429
5/2/2018,23,1.053571429
5/3/2018,23,1.053571429
5/4/2018,22.8,1.035714286
5/7/2018,23.15,1.066964286
5/8/2018,22.8,1.035714286
5/9/2018,22.9,1.044642857
5/10/2018,22.55,1.013392857
5/11/2018,22.65,1.022321429
5/14/2018,22.7,1.026785714
5/15/2018,22.95,1.049107143
5/16/2018,23.35,1.084821429
5/17/2018,23.45,1.09375
5/18/2018,24,1.142857143
5/21/2018,24,1.142857143
5/22/2018,23.25,1.075892857
5/23/2018,23.15,1.066964286
5/24/2018,23,1.053571429
5/25/2018,23.35,1.084821429
5/29/2018,22.85,1.040178571
5/30/2018,22.8,1.035714286
5/31/2018,22.75,1.03125
6/1/2018,23,1.053571429
6/4/2018,23,1.053571429
6/5/2018,23.45,1.09375
6/6/2018,23.4,1.089285714
6/7/2018,23.4,1.089285714
6/8/2018,23.45,1.09375
6/11/2018,24.1,1.151785714
6/12/2018,23.85,1.129464286
6/13/2018,24.75,1.209821429
6/14/2018,24.95,1.227678571
6/15/2018,25.35,1.263392857
6/18/2018,24.95,1.227678571
