Solved,Puzzle Date,Day of Week,Time Taken,Adjusted Time,Average Time,Average Adjusted Time,Completed At (ET),Checks,Reveals,Constructor,Excluded
True,2023-07-04,Tu,446,446,486.6,486.6,2023-07-04 13:25:11,0,0,Barbara Lin,False
True,2023-07-03,Mo,325,325,333.2,333.2,2023-07-04 13:07:33,0,0,Sam Buchbinder,False
True,2023-07-02,Su,1685,1685,1970.4,3822.6,2023-07-02 21:07:36,0,0,Rebecca Goldstein and Rafael Musa,False
True,2023-07-01,Sa,899,899,2260.7,4333.7,2023-07-01 10:37:40,0,0,Ben Tolkin,False
True,2023-06-30,Fr,1291,1291,1496.1,2046.8,2023-06-30 13:40:26,0,0,Carly Schuna,False
False,2023-06-29,Th,2535,5414,1807.4,2680.7,2023-06-29 17:08:07,180,0,Simeon Seigel,False
True,2023-06-28,We,694,694,747.4,747.4,2023-06-28 11:58:40,0,0,Matt Fuchs and Victor Sloan,False
True,2023-06-27,Tu,427,427,472.8,472.8,2023-06-27 11:35:24,0,0,Anthony Gisonda,False
True,2023-06-26,Mo,285,285,342.4,342.4,2023-06-26 07:48:35,0,0,Taylor Johnson and Christina Iverson,False
True,2023-06-25,Su,1660,1660,1930.3,3782.5,2023-06-25 19:01:14,0,0,John Westwig,False
True,2023-06-23,Fr,1101,1101,1498.8,2049.5,2023-06-23 13:30:00,0,0,Kunal Nabar,False
True,2023-06-22,Th,1742,1742,1802.8,2676.1,2023-06-22 20:50:42,0,0,Michael Baker and Jeff Chen,False
True,2023-06-21,We,501,501,814.9,814.9,2023-06-21 18:59:45,0,0,Jimmy Peniston,False
True,2023-06-20,Tu,299,299,507.7,507.7,2023-06-21 15:05:43,0,0,Aimee Lucido,False
True,2023-06-19,Mo,453,453,334.5,334.5,2023-06-19 16:15:17,0,0,David Liben-Nowell,False
True,2023-06-16,Fr,1458,1458,1656.2,2484.4,2023-06-16 18:24:01,0,0,Natan Last and the J.A.S.A. Crossword Class,False
True,2023-06-15,Th,1151,1151,1789.6,2662.9,2023-06-15 16:24:35,0,0,David Harris,False
True,2023-06-14,We,547,547,845.8,845.8,2023-06-14 07:44:54,0,0,Jennifer Hoelzer,False
True,2023-06-13,Tu,847,847,448.2,448.2,2023-06-13 20:59:38,0,0,Juliana Tringali Golden and Wendy L. Brandes,False
True,2023-06-12,Mo,368,368,327.0,327.0,2023-06-12 19:18:40,0,0,Alice Liang,False
False,2023-06-11,Su,1864,6443,1947.6,3341.9,2023-06-12 21:08:04,367,0,Sam Ezersky,False
False,2023-06-09,Fr,1273,3984,1632.4,2189.5,2023-06-09 22:14:52,188,0,Robyn Weintraub,False
False,2023-06-08,Th,2595,5347,1637.2,2235.3,2023-06-19 18:09:00,167,0,Philip Koski,False
True,2023-06-07,We,757,757,851.7,851.7,2023-06-07 19:14:54,0,0,Jennifer Lee and Victor Galson,False
True,2023-06-06,Tu,330,330,448.4,448.4,2023-06-06 08:10:02,0,0,Daniel Jaret,False
True,2023-06-05,Mo,275,275,321.3,321.3,2023-06-05 07:46:24,0,0,Eric Rollfing,False
True,2023-06-04,Su,1632,1632,1918.9,3313.2,2023-06-04 20:12:02,0,0,Rafael Musa,False
True,2023-06-03,Sa,1414,1414,2393.5,4466.5,2023-06-03 16:42:29,0,0,John Westwig,False
True,2023-06-02,Fr,1430,1430,1658.9,2216.0,2023-06-02 16:23:31,0,0,John Ewbank,False
False,2023-06-01,Th,1718,4591,1623.0,1933.8,2023-06-01 18:47:02,195,0,David and Karen and Paul Steinberg,False
True,2023-05-31,We,464,464,872.7,872.7,2023-05-31 14:55:01,0,0,Brandon Koppy,False
True,2023-05-30,Tu,547,547,440.5,440.5,2023-05-30 12:23:02,0,0,Kathryn Ladner,False
True,2023-05-29,Mo,332,332,322.6,322.6,2023-05-30 12:29:48,0,0,Katie Hale and Zachary David Levy,False
False,2023-05-27,Sa,2780,5729,2420.9,4199.0,2023-05-30 18:41:42,182,0,Samuel Smalley,False
True,2023-05-26,Fr,1424,1424,1691.2,2248.3,2023-05-28 11:19:02,0,0,Hemant Mehta,False
True,2023-05-25,Th,801,801,1683.2,1994.0,2023-05-25 11:48:31,0,0,Andrew Kingsley and Garrett Chalfin,False
True,2023-05-24,We,412,412,925.6,925.6,2023-05-24 10:25:12,0,0,Kavin Pawittranon and Nijah Morris,False
True,2023-05-23,Tu,377,377,464.3,464.3,2023-05-23 17:43:41,0,0,Lee Taylor,False
True,2023-05-22,Mo,297,297,347.8,347.8,2023-05-22 12:22:29,0,0,Dang Quang Thang,False
True,2023-05-21,Su,1232,1232,2008.8,3403.1,2023-05-22 20:04:17,0,0,Robert Ryan,False
False,2023-05-20,Sa,1663,4452,2584.5,4083.7,2023-05-23 10:27:45,188,0,Erica Hsiung Wojcik,False
False,2023-05-19,Fr,1485,4281,1659.4,1936.9,2023-05-22 12:13:22,192,0,David Distenfeld,False
True,2023-05-18,Th,2019,2019,1720.0,2030.8,2023-05-18 20:48:11,0,0,Kiran Pandey,False
True,2023-05-17,We,1190,1190,861.1,861.1,2023-05-18 13:36:56,0,0,Parker Higgins,False
True,2023-05-16,Tu,426,426,457.1,457.1,2023-05-16 14:16:54,0,0,Katherine Baicker and Adam Wagner,False
True,2023-05-15,Mo,329,329,358.1,358.1,2023-05-15 13:57:31,0,0,Tomas Spiers,False
True,2023-05-14,Su,2814,2814,1821.6,3215.9,2023-05-15 21:03:00,0,0,Sid Sivakumar,False
False,2023-05-13,Sa,2000,4867,2571.6,3784.1,2023-06-02 20:13:55,189,0,Spencer Leach,False
True,2023-05-12,Fr,1395,1395,1695.2,1972.7,2023-05-12 21:36:23,0,0,Enrique Henestroza Anguiano,False
True,2023-05-11,Th,1719,1719,1696.4,2007.2,2023-05-11 13:56:36,0,0,Sheldon Polonsky,False
True,2023-05-10,We,910,910,890.3,890.3,2023-05-10 12:34:13,0,0,Victor Barocas,False
True,2023-05-09,Tu,305,305,472.7,472.7,2023-05-09 11:28:06,0,0,Margaret Seikel,False
True,2023-05-08,Mo,312,312,360.8,360.8,2023-05-08 18:13:46,0,0,Catherine Cetta,False
True,2023-05-06,Sa,1742,1742,2644.2,3856.7,2023-05-11 07:58:24,0,0,Carter Cobb,False
True,2023-05-03,We,880,880,867.3,867.3,2023-05-04 10:58:59,0,0,Samuel A. Donaldson,False
True,2023-05-02,Tu,733,733,508.7,508.7,2023-05-02 08:20:07,0,0,Aimee Lucido,False
True,2023-05-01,Mo,361,361,353.8,353.8,2023-05-01 07:53:22,0,0,Alina Abidi and Matthew Stock,False
False,2023-04-30,Su,2283,6789,1934.7,3356.2,2023-04-30 12:40:19,350,0,Lewis Rothlein and Jeff Chen,False
True,2023-04-29,Sa,2140,2140,2550.2,3762.7,2023-05-01 14:01:02,0,0,David Steinberg,False
True,2023-04-28,Fr,1977,1977,1736.3,2013.8,2023-04-28 13:57:44,0,0,Malaika Handa and Erik Agard,False
True,2023-04-27,Th,1581,1581,1845.8,2156.6,2023-04-27 12:55:51,0,0,Michael Schlossberg,False
True,2023-04-26,We,1043,1043,836.5,836.5,2023-04-26 13:53:58,0,0,Aaron M. Rosenberg,False
True,2023-04-25,Tu,575,575,497.6,497.6,2023-04-25 12:44:50,0,0,Grant Boroughs,False
True,2023-04-24,Mo,320,320,364.3,364.3,2023-04-24 08:55:27,0,0,Emily Carroll,False
True,2023-04-23,Su,1414,1414,1945.1,3366.6,2023-04-24 20:30:42,0,0,Katie Hale and Scott Hogan,False
True,2023-04-21,Fr,1637,1637,1891.5,2169.0,2023-04-21 19:54:41,0,0,Erica Hsiung Wojcik and Matthew Stock,False
True,2023-04-19,We,770,770,850.7,850.7,2023-04-19 09:46:44,0,0,Joe Deeney,False
True,2023-04-18,Tu,289,289,504.3,504.3,2023-04-18 13:38:35,0,0,Kiran Pandey,False
True,2023-04-17,Mo,377,377,373.8,373.8,2023-04-17 11:12:40,0,0,Katherine Baicker and Scott Earl,False
True,2023-04-16,Su,1641,1641,1960.4,3381.9,2023-04-16 13:08:06,0,0,Mike Hobin,False
False,2023-04-15,Sa,3006,6137,2488.8,3388.2,2023-04-21 16:14:27,195,0,Kameron Austin Collins,False
True,2023-04-14,Fr,1781,1781,1896.6,2174.1,2023-04-14 20:11:02,0,0,Billy Bratton and Clay Haddock,False
True,2023-04-13,Th,2231,2231,1751.3,2062.1,2023-04-13 14:26:13,0,0,Robin Yu,False
True,2023-04-12,We,1176,1176,848.1,848.1,2023-04-12 07:59:28,0,0,Olivia Mitra Framke and Brooke Husic,False
True,2023-04-11,Tu,648,648,484.8,484.8,2023-04-11 10:18:09,0,0,Taylor Johnson and Jeff Chen,False
True,2023-04-10,Mo,374,374,383.7,383.7,2023-04-10 12:57:35,0,0,Gia Bosko,False
False,2023-04-09,Su,2199,6827,1903.2,2861.9,2023-04-11 21:08:06,365,0,John Ewbank,False
False,2023-04-08,Sa,2716,5705,2317.7,2918.2,2023-04-12 13:07:47,187,0,Sid Sivakumar,False
True,2023-04-07,Fr,1128,1128,2054.2,2331.7,2023-04-07 15:09:01,0,0,Lindsey Hobbs,False
False,2023-04-06,Th,2517,5625,1720.2,1720.2,2023-04-07 16:49:01,181,4,Sam Buttrey,False
True,2023-04-05,We,856,856,821.9,821.9,2023-04-05 12:07:09,0,0,Brandon Koppy,False
True,2023-04-04,Tu,252,252,553.9,829.9,2023-04-04 11:18:49,0,0,Andrea Carla Michaels and Christina Iverson,False
True,2023-04-03,Mo,293,293,388.4,388.4,2023-04-03 10:07:02,0,0,David Distenfeld,False
False,2023-04-02,Su,2965,7774,1727.6,2205.4,2023-04-02 13:57:17,368,0,Jeremy Newton and Tracy Gray,False
False,2023-04-01,Sa,2889,5986,2288.9,2579.7,2023-04-04 11:12:10,194,0,Wyna Liu and Joel Fagliano,False
False,2023-03-31,Fr,3032,5807,1926.5,1926.5,2023-03-31 17:40:15,161,0,Rich Norris,False
True,2023-03-30,Th,1696,1696,1655.3,1655.3,2023-03-30 14:29:16,0,0,Adam Wagner and Brooke Husic,False
True,2023-03-29,We,816,816,849.2,849.2,2023-03-29 11:15:49,0,0,Ben Zoon,False
True,2023-03-28,Tu,332,332,582.2,858.2,2023-03-28 09:50:23,0,0,Daniel Kantor and Jay Kaskel,False
True,2023-03-27,Mo,218,218,420.7,420.7,2023-03-27 11:02:08,0,0,Simon Marotte and Trenton Lee Stewart,False
True,2023-03-26,Su,1259,1259,1825.1,2302.9,2023-03-26 14:27:21,0,0,David Karp,False
False,2023-03-25,Sa,2257,5165,2186.6,2186.6,2023-03-27 17:43:32,188,0,Robyn Weintraub,False
True,2023-03-24,Fr,1035,1035,2049.3,2049.3,2023-03-24 13:29:19,0,0,Blake Slonecker,False
True,2023-03-23,Th,1019,1019,1728.8,1728.8,2023-03-24 11:13:19,0,0,David Kwong,False
True,2023-03-22,We,674,674,858.0,858.0,2023-03-22 13:48:39,0,0,Madeline Kaplan,False
True,2023-03-21,Tu,468,468,569.8,845.8,2023-03-21 13:43:36,0,0,Michael Lieberman,False
True,2023-03-20,Mo,345,345,415.1,415.1,2023-03-20 14:15:36,0,0,Adam Vincent,False
True,2023-03-19,Su,2037,2037,1776.9,2254.7,2023-03-19 18:58:35,0,0,Robert Ryan,False
True,2023-03-16,Th,1071,1071,1700.3,1700.3,2023-03-16 16:15:41,0,0,Rebecca Goldstein,False
True,2023-03-15,We,941,941,880.0,880.0,2023-03-15 09:43:27,0,0,Michael B. Berg,False
True,2023-03-14,Tu,615,615,538.1,814.1,2023-03-14 10:51:34,0,0,Peter Gordon,False
True,2023-03-13,Mo,549,549,393.3,393.3,2023-03-13 09:50:12,0,0,Sam Koperwas and Jeff Chen,False
True,2023-03-12,Su,1345,1345,1794.4,2272.2,2023-03-13 20:49:01,0,0,David Tuffs,False
True,2023-03-10,Fr,1695,1695,2079.2,2079.2,2023-03-10 10:41:58,0,0,Claire Rimkus,False
True,2023-03-09,Th,1576,1576,1880.6,1880.6,2023-03-09 14:40:20,0,0,Simeon Seigel,False
True,2023-03-08,We,545,545,926.1,926.1,2023-03-08 12:23:09,0,0,Miranda Kany,False
True,2023-03-07,Tu,354,354,561.2,837.2,2023-03-07 09:46:06,0,0,Enrique Henestroza Anguiano and Matthew Stock,False
True,2023-03-06,Mo,432,432,406.0,406.0,2023-03-06 15:44:56,0,0,Lynn Lempel,False
True,2023-03-03,Fr,1747,1747,1978.2,1978.2,2023-03-03 13:15:05,0,0,Eric Warren,False
True,2023-03-02,Th,1403,1403,1834.0,1834.0,2023-03-02 12:12:33,0,0,Malaika Handa,False
True,2023-03-01,We,1202,1202,999.8,999.8,2023-03-01 12:47:09,0,0,Aaron M. Rosenberg,False
True,2023-02-28,Tu,461,461,585.2,861.2,2023-02-28 10:23:52,0,0,Gia Bosko,False
True,2023-02-27,Mo,339,339,419.2,419.2,2023-02-27 09:03:46,0,0,David Rockow,False
True,2023-02-26,Su,2131,2131,1661.5,2139.3,2023-02-26 13:30:08,0,0,Will Nediger,False
True,2023-02-25,Sa,2742,2742,1995.8,1995.8,2023-02-27 13:52:47,0,0,Trent H. Evans,False
True,2023-02-24,Fr,1167,1167,1979.5,1979.5,2023-02-24 11:33:02,0,0,Margaret Seikel and Sophia Maymudes,False
True,2023-02-23,Th,2387,2387,1792.7,1792.7,2023-02-23 13:53:22,0,0,Joe Deeney,False
True,2023-02-22,We,650,650,1040.5,1040.5,2023-02-22 11:52:20,0,0,Adam Wagner,False
True,2023-02-21,Tu,1093,1093,546.6,822.6,2023-02-21 13:11:00,0,0,Daniel Raymon,False
True,2023-02-20,Mo,291,291,414.5,414.5,2023-02-20 08:34:25,0,0,Emily Carroll,False
True,2023-02-19,Su,942,942,1735.1,2212.9,2023-02-19 12:32:12,0,0,Rebecca Goldstein,False
True,2023-02-18,Sa,3054,3054,1779.2,1779.2,2023-02-18 15:26:46,0,0,Kameron Austin Collins,False
True,2023-02-17,Fr,1753,1753,1873.1,1873.1,2023-02-17 12:20:29,0,0,Jem Burch,False
True,2023-02-15,We,735,735,1022.9,1022.9,2023-02-15 15:09:07,0,0,Sean Ziebarth,False
True,2023-02-14,Tu,464,464,569.6,845.6,2023-02-14 10:41:13,0,0,Ella Dershowitz,False
True,2023-02-13,Mo,425,425,407.4,407.4,2023-02-13 10:57:16,0,0,Eric Rollfing,False
False,2023-02-12,Su,3414,8192,1484.9,1484.9,2023-02-12 16:19:00,355,0,Christina Iverson and Samuel A. Donaldson,False
True,2023-02-11,Sa,3299,3299,1536.3,1536.3,2023-02-24 17:21:26,0,0,Sam Ezersky,False
True,2023-02-08,We,912,912,1002.3,1002.3,2023-02-08 09:42:29,0,0,Chase Dittrich,False
True,2023-02-07,Tu,356,356,585.6,861.6,2023-02-07 09:41:24,0,0,Ellen Leuschner,False
True,2023-02-06,Mo,472,472,443.9,443.9,2023-02-06 19:19:18,0,0,Taylor Johnson,False
True,2023-02-05,Su,1518,1518,1552.0,2011.8,2023-02-07 17:33:35,0,0,Jeremy Newton,False
True,2023-02-02,Th,1483,1483,1759.7,1759.7,2023-02-02 20:11:20,0,0,Elise Corbin,False
True,2023-01-31,Tu,453,453,617.2,893.2,2023-01-31 11:33:38,0,0,Erik Agard,False
True,2023-01-30,Mo,473,473,439.1,439.1,2023-01-30 14:18:49,0,0,David Steinberg,False
True,2023-01-29,Su,1794,1794,1564.7,2024.5,2023-01-29 18:32:12,0,0,Rich Katz,False
True,2023-01-28,Sa,1871,1871,1471.0,1471.0,2023-01-28 13:40:30,0,0,Kevin Christian,False
True,2023-01-27,Fr,2388,2388,2112.9,2414.5,2023-01-27 12:05:48,0,0,Joe Deeney,False
True,2023-01-26,Th,3075,3075,1589.8,1854.5,2023-01-26 19:09:30,0,0,Dan Ziring and Quiara Vasquez,False
True,2023-01-25,We,1150,1150,950.1,950.1,2023-01-25 20:42:09,0,0,Nancy Serrano-Wu,False
False,2023-01-24,Tu,943,3703,567.5,567.5,2023-01-25 20:22:47,199,0,Aaron M. Rosenberg and Jeff Chen,False
True,2023-01-23,Mo,340,340,440.0,440.0,2023-01-25 12:47:11,0,0,Adrian Johnson,False
True,2023-01-18,We,594,594,1035.7,1310.4,2023-01-20 11:40:09,0,0,Lindsay McBride,False
True,2023-01-17,Tu,615,615,559.9,559.9,2023-01-20 11:30:04,0,0,Erika Ettin,False
True,2023-01-16,Mo,541,541,430.0,430.0,2023-01-16 14:23:36,0,0,Michael Paleos,False
True,2023-01-14,Sa,2468,2468,1370.2,1370.2,2023-01-14 10:34:58,0,0,David Karp,False
True,2023-01-12,Th,1286,1286,1602.2,1866.9,2023-01-12 09:03:28,0,0,Grant Thackray,False
True,2023-01-11,We,1089,1089,1042.5,1317.2,2023-01-11 11:39:06,0,0,Victor Barocas,False
True,2023-01-10,Tu,344,344,584.1,584.1,2023-01-10 12:27:12,0,0,Emily Rourke,False
True,2023-01-09,Mo,289,289,436.6,689.4,2023-01-09 10:24:12,0,0,Andrea Carla Michaels and Kevin Christian,False
True,2023-01-08,Su,1627,1627,1542.3,2002.1,2023-01-08 13:30:47,0,0,Wyna Liu,False
True,2023-01-07,Sa,1200,1200,1411.5,1411.5,2023-01-07 11:24:52,0,0,Adam Aaronson,False
True,2023-01-05,Th,2206,2206,1459.6,1724.3,2023-01-05 11:02:43,0,0,Emily Carroll,False
