area_code,area_name,country_region,child_poverty,air_pollution,grouping
S12000038,Renfrewshire,Scotland,0.23108553886413574,3.6507,Scotland and Northern Ireland
S12000026,Scottish Borders,Scotland,0.24181492626667023,3.5478,Scotland and Northern Ireland
S12000027,Shetland Islands,Scotland,0.1578107476234436,2.0759,Scotland and Northern Ireland
S12000028,South Ayrshire,Scotland,0.24830558896064758,3.1888,Scotland and Northern Ireland
S12000029,South Lanarkshire,Scotland,0.23081029951572418,3.9672,Scotland and Northern Ireland
S12000030,Stirling,Scotland,0.2128971666097641,3.4844,Scotland and Northern Ireland
S12000039,West Dunbartonshire,Scotland,0.26750132441520691,3.3595,Scotland and Northern Ireland
S12000040,West Lothian,Scotland,0.24642480909824371,4.012,Scotland and Northern Ireland
E07000223,Adur,South East,0.27168098092079163,7.2997,South East and East of England
E07000224,Arun,South East,0.27995961904525757,6.8259,South East and East of England
E07000105,Ashford,South East,0.27456185221672058,6.981,South East and East of England
E07000004,Aylesbury Vale,South East,0.22615455090999603,7.003,South East and East of England
E07000084,Basingstoke and Deane,South East,0.19151768088340759,7.1933,South East and East of England
E06000036,Bracknell Forest,South East,0.19490440189838409,7.7414,South East and East of England
E06000043,Brighton and Hove,South East,0.27016744017601013,7.3615,South East and East of England
E07000106,Canterbury,South East,0.27446103096008301,6.9876,South East and East of England
E07000177,Cherwell,South East,0.22735120356082916,7.2597,South East and East of England
E07000225,Chichester,South East,0.23747514188289642,6.5393,South East and East of England
E07000005,Chiltern,South East,0.17209142446517944,7.2925,South East and East of England
E07000226,Crawley,South East,0.31981432437896729,7.7097,South East and East of England
E07000107,Dartford,South East,0.26751708984375,8.5953,South East and East of England
E07000108,Dover,South East,0.31404715776443481,6.7915,South East and East of England
E07000085,East Hampshire,South East,0.19694213569164276,6.6774,South East and East of England
E07000061,Eastbourne,South East,0.29789426922798157,6.9282,South East and East of England
E07000086,Eastleigh,South East,0.20637692511081696,7.2548,South East and East of England
E07000207,Elmbridge,South East,0.12394893914461136,8.0802,South East and East of England
E07000208,Epsom and Ewell,South East,0.13553918898105621,8.3498,South East and East of England
E07000087,Fareham,South East,0.20185908675193787,7.2968,South East and East of England
E07000112,Folkestone and Hythe,South East,0.29527902603149414,6.7276,South East and East of England
E07000088,Gosport,South East,0.26387813687324524,7.5617,South East and East of England
E07000109,Gravesham,South East,0.32070368528366089,8.5523,South East and East of England
E07000209,Guildford,South East,0.17074355483055115,7.4652,South East and East of England
E07000089,Hart,South East,0.13866612315177917,7.2323,South East and East of England
E07000062,Hastings,South East,0.33647468686103821,7.1096,South East and East of England
E07000090,Havant,South East,0.29675379395484924,7.4758,South East and East of England
E07000227,Horsham,South East,0.1883273720741272,6.8152,South East and East of England
E06000046,Isle of Wight,South East,0.29626381397247314,6.5629,South East and East of England
E07000063,Lewes,South East,0.24541488289833069,6.5864,South East and East of England
E07000110,Maidstone,South East,0.26013582944869995,7.8633,South East and East of England
E06000035,Medway,South East,0.30024367570877075,8.9469,South East and East of England
E07000228,Mid Sussex,South East,0.1632106751203537,7.0013,South East and East of England
E06000042,Milton Keynes,South East,0.29727271199226379,7.5384,South East and East of England
E07000210,Mole Valley,South East,0.17048995196819305,7.3188,South East and East of England
E07000091,New Forest,South East,0.23193822801113129,6.5122,South East and East of England
E07000178,Oxford,South East,0.26261839270591736,7.7116,South East and East of England
E06000044,Portsmouth,South East,0.31687968969345093,8.4931,South East and East of England
E06000038,Reading,South East,0.26916143298149109,8.3937,South East and East of England
E07000211,Reigate and Banstead,South East,0.18621012568473816,7.6153,South East and East of England
E07000064,Rother,South East,0.29104670882225037,6.5466,South East and East of England
E07000212,Runnymede,South East,0.19815866649150848,7.9985,South East and East of England
E07000092,Rushmoor,South East,0.21690376102924347,7.9695,South East and East of England
E07000111,Sevenoaks,South East,0.21932196617126465,7.3457,South East and East of England
E06000039,Slough,South East,0.33451011776924133,8.5034,South East and East of England
E07000006,South Bucks,South East,0.18334278464317322,7.6978,South East and East of England
E07000179,South Oxfordshire,South East,0.16944423317909241,6.9668,South East and East of England
E06000045,Southampton,South East,0.33972460031509399,7.7067,South East and East of England
E07000213,Spelthorne,South East,0.21607239544391632,8.3458,South East and East of England
E07000214,Surrey Heath,South East,0.17480653524398804,7.7318,South East and East of England
E07000113,Swale,South East,0.29219281673431396,7.7023,South East and East of England
E07000215,Tandridge,South East,0.18107089400291443,7.2136,South East and East of England
E07000093,Test Valley,South East,0.18246917426586151,6.7318,South East and East of England
E07000114,Thanet,South East,0.33578777313232422,7.1156,South East and East of England
E07000115,Tonbridge and Malling,South East,0.22302600741386414,7.6766,South East and East of England
E07000116,Tunbridge Wells,South East,0.2069413810968399,7.0428,South East and East of England
E07000180,Vale of White Horse,South East,0.16287939250469208,6.945,South East and East of England
E07000216,Waverley,South East,0.15544281899929047,6.9064,South East and East of England
E07000065,Wealden,South East,0.24200814962387085,6.5272,South East and East of England
E06000037,West Berkshire,South East,0.18771928548812866,6.9545,South East and East of England
E07000181,West Oxfordshire,South East,0.18158049881458282,6.7068,South East and East of England
E07000094,Winchester,South East,0.17989638447761536,6.6963,South East and East of England
E06000040,Windsor and Maidenhead,South East,0.17238873243331909,7.7459,South East and East of England
E07000217,Woking,South East,0.2202242910861969,7.8844,South East and East of England
E06000041,Wokingham,South East,0.14805877208709717,7.7924,South East and East of England
E07000229,Worthing,South East,0.25116351246833801,7.3279,South East and East of England
E07000007,Wycombe,South East,0.24579374492168427,7.4075,South East and East of England
E06000022,Bath and North East Somerset,South West,0.20105846226215363,6.501,Wales and South West
E06000058,"Bournemouth, Christchurch and Poole",South West,0.24808968603610992,6.8421,Wales and South West
E06000023,"Bristol, City of",South West,0.33481821417808533,7.4701,Wales and South West
E07000078,Cheltenham,South West,0.24978691339492798,6.8848,Wales and South West
E06000052,Cornwall,South West,0.30761909484863281,5.0302,Wales and South West
E07000079,Cotswold,South West,0.20133724808692932,6.0303,Wales and South West
E06000059,Dorset,South West,0.24737732112407684,5.919,Wales and South West
E07000040,East Devon,South West,0.24696819484233856,5.4754,Wales and South West
E07000041,Exeter,South West,0.25010165572166443,6.1882,Wales and South West
E07000080,Forest of Dean,South West,0.27291953563690186,5.9057,Wales and South West
E07000081,Gloucester,South West,0.2920488715171814,7.2167,Wales and South West
E06000053,Isles of Scilly,South West,0.14706423878669739,3.9588,Wales and South West
E07000187,Mendip,South West,0.258861243724823,5.9939,Wales and South West
E07000042,Mid Devon,South West,0.2711808979511261,5.4374,Wales and South West
E07000043,North Devon,South West,0.28910940885543823,5.0623,Wales and South West
E06000024,North Somerset,South West,0.21692326664924622,6.0902,Wales and South West
E06000026,Plymouth,South West,0.29769682884216309,5.9874,Wales and South West
E07000188,Sedgemoor,South West,0.29601845145225525,6.2746,Wales and South West
E07000246,Somerset West and Taunton,South West,0.26997336745262146,5.7377,Wales and South West
E06000025,South Gloucestershire,South West,0.21044351160526276,7.1414,Wales and South West
E07000044,South Hams,South West,0.26583588123321533,5.0781,Wales and South West
E07000189,South Somerset,South West,0.25077885389328003,6.0999,Wales and South West
