fips,name,pop
08039,"Elbert County, Colorado",26230
08041,"El Paso County, Colorado",710499
08043,"Fremont County, Colorado",47725
08045,"Garfield County, Colorado",59605
08047,"Gilpin County, Colorado",6108
08049,"Grand County, Colorado",15536
08051,"Gunnison County, Colorado",17119
08053,"Hinsdale County, Colorado",781
08055,"Huerfano County, Colorado",6769
08057,"Jackson County, Colorado",1316
08059,"Jefferson County, Colorado",578795
08061,"Kiowa County, Colorado",1463
08063,"Kit Carson County, Colorado",7246
08065,"Lake County, Colorado",7845
08067,"La Plata County, Colorado",56138
08069,"Larimer County, Colorado",350523
08071,"Las Animas County, Colorado",14323
08073,"Lincoln County, Colorado",5608
08075,"Logan County, Colorado",22282
08077,"Mesa County, Colorado",152962
08079,"Mineral County, Colorado",853
08081,"Moffat County, Colorado",13150
08083,"Montezuma County, Colorado",26266
08085,"Montrose County, Colorado",42280
08087,"Morgan County, Colorado",28617
08089,"Otero County, Colorado",18284
08091,"Ouray County, Colorado",4890
08093,"Park County, Colorado",18345
08095,"Phillips County, Colorado",4343
08097,"Pitkin County, Colorado",17980
08099,"Prowers County, Colorado",12035
08101,"Pueblo County, Colorado",167412
08103,"Rio Blanco County, Colorado",6369
08105,"Rio Grande County, Colorado",11300
08107,"Routt County, Colorado",25317
08109,"Saguache County, Colorado",6730
08111,"San Juan County, Colorado",646
08113,"San Miguel County, Colorado",8110
08115,"Sedgwick County, Colorado",2306
08117,"Summit County, Colorado",30735
08119,"Teller County, Colorado",24981
08121,"Washington County, Colorado",4869
08123,"Weld County, Colorado",315389
08125,"Yuma County, Colorado",10013
09001,"Fairfield County, Connecticut",944306
09003,"Hartford County, Connecticut",892153
09005,"Litchfield County, Connecticut",181143
09007,"Middlesex County, Connecticut",162742
09009,"New Haven County, Connecticut",855733
09011,"New London County, Connecticut",266868
09013,"Tolland County, Connecticut",150947
09015,"Windham County, Connecticut",116657
10001,"Kent County, Delaware",179124
10003,"New Castle County, Delaware",558306
10005,"Sussex County, Delaware",230249
11001,"District of Columbia, District of Columbia",701974
12001,"Alachua County, Florida",268105
12003,"Baker County, Florida",28679
12005,"Bay County, Florida",180076
12007,"Bradford County, Florida",27723
12009,"Brevard County, Florida",594001
12011,"Broward County, Florida",1942273
12013,"Calhoun County, Florida",14324
12015,"Charlotte County, Florida",185926
12017,"Citrus County, Florida",147938
12019,"Clay County, Florida",215294
12021,"Collier County, Florida",379345
12023,"Columbia County, Florida",70898
12027,"DeSoto County, Florida",37371
12029,"Dixie County, Florida",16740
12031,"Duval County, Florida",948651
12033,"Escambia County, Florida",316691
12035,"Flagler County, Florida",112854
12037,"Franklin County, Florida",11914
12039,"Gadsden County, Florida",45787
12041,"Gilchrist County, Florida",18245
12043,"Glades County, Florida",13777
12045,"Gulf County, Florida",15073
12047,"Hamilton County, Florida",14397
12049,"Hardee County, Florida",27027
12051,"Hendry County, Florida",41472
12053,"Hernando County, Florida",190700
12055,"Highlands County, Florida",104574
12057,"Hillsborough County, Florida",1451358
12059,"Holmes County, Florida",19530
12061,"Indian River County, Florida",156964
12063,"Jackson County, Florida",47409
12065,"Jefferson County, Florida",14278
12067,"Lafayette County, Florida",8576
12069,"Lake County, Florida",356115
12071,"Lee County, Florida",756570
12073,"Leon County, Florida",291863
12075,"Levy County, Florida",40979
12077,"Liberty County, Florida",8333
12079,"Madison County, Florida",18557
12081,"Manatee County, Florida",393847
12083,"Marion County, Florida",360210
12085,"Martin County, Florida",160420
12086,"Miami-Dade County, Florida",2705528
12087,"Monroe County, Florida",75137
12089,"Nassau County, Florida",85762
12091,"Okaloosa County, Florida",207430
12093,"Okeechobee County, Florida",41611
12095,"Orange County, Florida",1373784
12097,"Osceola County, Florida",363666
12099,"Palm Beach County, Florida",1482057
12101,"Pasco County, Florida",539885
12103,"Pinellas County, Florida",970985
12105,"Polk County, Florida",705735
12107,"Putnam County, Florida",73784
12109,"St. Johns County, Florida",255410
12111,"St. Lucie County, Florida",320914
12113,"Santa Rosa County, Florida",179587
12115,"Sarasota County, Florida",427766
12117,"Seminole County, Florida",466695
12119,"Sumter County, Florida",129938
12121,"Suwannee County, Florida",44290
12123,"Taylor County, Florida",21709
12125,"Union County, Florida",15282
12127,"Volusia County, Florida",546107
12129,"Wakulla County, Florida",32855
12131,"Walton County, Florida",71049
12133,"Washington County, Florida",25094
13001,"Appling County, Georgia",18428
13003,"Atkinson County, Georgia",8311
13005,"Bacon County, Georgia",11140
13007,"Baker County, Georgia",3090
13009,"Baldwin County, Georgia",45072
13011,"Banks County, Georgia",18900
