name,area_name,percent_change,year2022,year2100
Ghana,Africa,115.74080542387586,33797.23499999997,72914.42700000001
Guinea,Africa,143.92765246668685,14023.588000000003,34207.40900000001
Guinea-Bissau,Africa,124.12715538509111,2128.0420000000004,4769.520000000001
Liberia,Africa,147.12739543864927,5359.508999999999,13244.814999999995
Mali,Africa,280.5484217504238,22938.514,87292.153
Mauritania,Africa,222.88117544185755,4798.604000000002,15493.788999999999
Niger,Africa,528.7448247114482,26696.09600000001,167850.32200000001
Nigeria,Africa,147.10284904104284,221153.992,546477.815
Saint Helena,Africa,-47.71791994014221,5.345999999999999,2.794999999999997
Senegal,Africa,255.1850280713114,17536.230999999992,62286.06699999999
Sierra Leone,Africa,94.97397413578398,8697.88600000001,16958.613999999994
Togo,Africa,202.37418166676568,8950.663000000006,27064.494
Kazakhstan,Asia,75.04460656227498,19500.493999999984,34134.56300000001
Kyrgyzstan,Asia,79.25351969579738,6683.176999999999,11979.829999999998
Tajikistan,Asia,103.11668484252712,10049.04299999999,20411.283000000014
Turkmenistan,Asia,36.01534117526402,6474.341000000002,8806.097000000003
Uzbekistan,Asia,45.460687542355835,34902.25699999999,50769.063
China,Asia,-46.5549767136399,1425849.2880000004,762045.4839999998
"China, Hong Kong SAR",Asia,-35.32846877131993,7488.580999999997,4842.9800000000005
"China, Macao SAR",Asia,47.684765675246915,699.67,1033.306
"China, Taiwan Province of China",Asia,-36.41743999476684,23908.998000000003,15201.953
Dem. People's Republic of Korea,Asia,-21.815656302270114,26116.71599999999,20419.183000000005
Japan,Asia,-40.59274334590089,123625.07400000007,73442.26499999998
Mongolia,Asia,53.54696857544635,3423.373999999999,5256.486999999999
Republic of Korea,Asia,-53.743198651403425,51802.59399999999,23962.223000000005
Afghanistan,Asia,166.2538295654884,41677.05200000001,110966.74699999999
Bangladesh,Asia,2.1459228590187696,172075.15099999995,175767.75100000002
Bhutan,Asia,-16.953671913318743,784.9449999999997,651.8679999999999
India,Asia,7.332775440318676,1422026.5279999995,1526300.5399999998
Iran (Islamic Republic of),Asia,-10.329240646955924,88844.49799999998,79667.53600000004
Maldives,Asia,-10.350046398606983,522.6449999999996,468.5510000000002
Nepal,Asia,9.567285110093858,30723.208999999988,33662.586
Pakistan,Asia,104.6239305136603,238126.11299999992,487263.01200000005
Sri Lanka,Asia,-33.23200424141488,21864.402000000002,14598.423000000003
Brunei Darussalam,Asia,-10.52673608184308,450.81400000000014,403.35800000000006
Cambodia,Asia,13.17210082492043,16855.079000000005,19075.246999999996
