date,category,value
2022.15058,Other,953.5
2022.15058,Star,1889.5
2022.14784,Other,952.6
2022.14784,Star,1890.3
2022.14511,Other,952.4
2022.14511,Star,1890.7
2022.14237,Other,952
2022.14237,Star,1891
2022.13963,Other,947.6
2022.13963,Star,1845.3
2022.13689,Other,947.4
2022.13689,Star,1845.7
2022.13415,Other,945
2022.13415,Star,1846
2022.13142,Other,945
2022.13142,Star,1846
2022.12868,Other,946
2022.12868,Star,1846
2022.12594,Other,950
2022.12594,Star,1846
2022.1232,Other,948
2022.1232,Star,1846
2022.12047,Other,947
2022.12047,Star,1846
2022.11773,Other,947
2022.11773,Star,1846
2022.11499,Other,948
2022.11499,Star,1846
2022.11225,Other,949
2022.11225,Star,1846
2022.10951,Other,915.5
2022.10951,Star,1846.5
2022.10678,Other,917
2022.10678,Star,1847
2022.10404,Other,917
2022.10404,Star,1847
2022.1013,Other,915.4
2022.1013,Star,1849.7
2022.09856,Other,904.5
2022.09856,Star,1863.5
2022.09582,Other,922.2
2022.09582,Star,1877.8
2022.09309,Other,913
2022.09309,Star,1889
2022.09035,Other,909
2022.09035,Star,1840
2022.08761,Other,912
2022.08761,Star,1840
2022.08487,Other,912
2022.08487,Star,1840
2022.08214,Other,912
2022.08214,Star,1840
2022.0794,Other,912
2022.0794,Star,1840
2022.07666,Other,915
2022.07666,Star,1841
2022.07392,Other,915
2022.07392,Star,1842
2022.07118,Other,915
2022.07118,Star,1842
2022.06845,Other,915
2022.06845,Star,1842
2022.06571,Other,915
2022.06571,Star,1842
2022.06297,Other,917.7
2022.06297,Star,1842.3
2022.06023,Other,918.3000000000001
2022.06023,Star,1843.7
2022.05749,Other,917
2022.05749,Star,1846
2022.05476,Other,919
2022.05476,Star,1847
2022.05202,Other,921
2022.05202,Star,1847
2022.04928,Other,916.5
2022.04928,Star,1798.5
2022.04654,Other,915.5
2022.04654,Star,1799.5
2022.04381,Other,914.5
2022.04381,Star,1800.5
2022.04107,Other,917
2022.04107,Star,1802
2022.03833,Other,918
2022.03833,Star,1803
2022.03559,Other,917.5
2022.03559,Star,1803.5
2022.03285,Other,907.7
2022.03285,Star,1804.3
2022.03012,Other,906.5
2022.03012,Star,1805.5
2022.02738,Other,904.8
2022.02738,Star,1807.2
2022.02464,Other,906
2022.02464,Star,1808
2022.0219,Other,908
2022.0219,Star,1808
2022.01916,Other,908
2022.01916,Star,1808
2022.01643,Other,909
2022.01643,Star,1808
2022.01369,Other,905
2022.01369,Star,1759
2022.01095,Other,905.5
2022.01095,Star,1759.5
2022.00821,Other,904
2022.00821,Star,1761
2022.00548,Other,903
2022.00548,Star,1762
2022.00274,Other,903.5
2022.00274,Star,1762.5
2022,Other,905
2022,Star,1763
2021.99726,Other,906
2021.99726,Star,1763
2021.99452,Other,907.6999999999999
2021.99452,Star,1763.3
2021.99179,Other,905.4
2021.99179,Star,1763.7
2021.98905,Other,906
2021.98905,Star,1764
2021.98631,Other,870
2021.98631,Star,1764
2021.98357,Other,871
2021.98357,Star,1764
2021.98084,Other,872
2021.98084,Star,1764
2021.9781,Other,873
2021.9781,Star,1764
2021.97536,Other,873
2021.97536,Star,1764
2021.97262,Other,873
2021.97262,Star,1764
2021.96988,Other,871.6999999999999
2021.96988,Star,1764.3
2021.96715,Other,877.3
2021.96715,Star,1764.7
2021.96441,Other,876.7
2021.96441,Star,1766.3
2021.96167,Other,870.3000000000001
2021.96167,Star,1716.7
2021.95893,Other,872
2021.95893,Star,1718
2021.95619,Other,872
2021.95619,Star,1718
2021.95346,Other,873
2021.95346,Star,1718
2021.95072,Other,874
2021.95072,Star,1718
2021.94798,Other,875
2021.94798,Star,1718
2021.94524,Other,873.5
2021.94524,Star,1720.5
2021.94251,Other,872
2021.94251,Star,1723
2021.93977,Other,869
2021.93977,Star,1723
2021.93703,Other,867
2021.93703,Star,1723
2021.93429,Other,865
2021.93429,Star,1723
2021.93155,Other,864
2021.93155,Star,1723
2021.92882,Other,864
2021.92882,Star,1723
2021.92608,Other,862.5
2021.92608,Star,1724.5
2021.92334,Other,862.5
2021.92334,Star,1726.5
2021.9206,Other,857.5
2021.9206,Star,1679.5
2021.91786,Other,857
2021.91786,Star,1680
2021.91513,Other,859
2021.91513,Star,1680
2021.91239,Other,862.7
2021.91239,Star,1680.3
2021.90965,Other,865
2021.90965,Star,1681
2021.90691,Other,864.3000000000001
2021.90691,Star,1681.7
2021.90418,Other,864
2021.90418,Star,1682
2021.90144,Other,865
2021.90144,Star,1682
2021.8987,Other,865.4
2021.8987,Star,1682.7
2021.89596,Other,863.6999999999999
2021.89596,Star,1683.3
2021.89322,Other,865
2021.89322,Star,1684
2021.89049,Other,865.6999999999999
2021.89049,Star,1684.3
2021.88775,Other,865.3
2021.88775,Star,1684.7
2021.88501,Other,862
2021.88501,Star,1685
2021.88227,Other,862
2021.88227,Star,1685
2021.87953,Other,861
